"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Amorphus",0,170,0,1877,1,1
"Amoyvirus",0,170,0,1877,1,1
"Ampelovirus",0,170,0,1877,1,1
"Amphibacillus",1,169,0,1877,0.0830483634587201,0.732660266430438
"Amphritea",0,170,0,1877,1,1
"Ampullavirus",0,170,0,1877,1,1
"Amycolatopsis",5,165,40,1837,0.416811079047794,1
"Amycolicicoccus",0,170,0,1877,1,1
"Amylibacter",1,169,1,1876,0.159236915859511,1
"Amylolactobacillus",0,170,0,1877,1,1
"Anabaena",0,170,6,1871,1,1
"Anaeroarcus",0,170,0,1877,1,1
"Anaerobacillus",0,170,0,1877,1,1
"Anaerobaculum",0,170,0,1877,1,1
"Anaerobutyricum",3,167,61,1816,0.363084919384074,1
"Anaerococcus",24,146,39,1838,2.25530961182793e-11,2.8022221926962e-09
"Anaerocolumna",11,159,13,1864,9.1000215038432e-07,5.0252340971223e-05
"Anaerofustis",0,170,0,1877,1,1
"Anaerohalosphaera",0,170,0,1877,1,1
"Anaerolinea",0,170,1,1876,1,1
"Anaeromicropila",3,167,6,1871,0.0325205947446934,0.482469719048138
"Anaeromusa",0,170,0,1877,1,1
"Anaeromyxobacter",7,163,31,1846,0.0335090159882641,0.48982296900492
"Anaeropeptidivorans",1,169,1,1876,0.159236915859511,1
"Anaerophaga",0,170,0,1877,1,1
"Anaerosalibacter",0,170,0,1877,1,1
"Anaerosporomusa",0,170,0,1877,1,1
"Anaerostipes",7,163,88,1789,0.850730359194442,1
"Anaerotignum",1,169,7,1870,0.500848904366589,1
"Anaerotruncus",1,169,55,1822,0.0832903522199593,0.732660266430438
"Anaerovibrio",0,170,0,1877,1,1
"Anaerovorax",0,170,0,1877,1,1
"Anaplasma",0,170,0,1877,1,1
"Anaposvirus",0,170,0,1877,1,1
"Anatilimnocola",0,170,0,1877,1,1
"Anativirus",0,170,0,1877,1,1
"Anayavirus",0,170,0,1877,1,1
"Ancylobacter",6,164,38,1839,0.173905380007988,1
"Andhravirus",1,169,0,1877,0.0830483634587201,0.732660266430438
"Anditalea",0,170,0,1877,1,1
"Andreprevotia",0,170,0,1877,1,1
"Andromedalikevirus",0,170,0,1877,1,1
"Andromedavirus",0,170,0,1877,1,1
"Aneurinibacillus",1,169,1,1876,0.159236915859511,1
"Angelvirus",0,170,0,1877,1,1
"Angustibacter",0,170,0,1877,1,1
"Annadreamyvirus",0,170,0,1877,1,1
"Anoxybacillus",1,169,2,1875,0.229129201582681,1
"Anoxybacter",0,170,0,1877,1,1
"Anphevirus",0,170,0,1877,1,1
"Anseongella",1,169,2,1875,0.229129201582681,1
"Antarcticibacterium",1,169,0,1877,0.0830483634587201,0.732660266430438
"Antarctobacter",0,170,11,1866,0.615011839338107,1
"Antennavirus",0,170,0,1877,1,1
"Anthocerotibacter",0,170,1,1876,1,1
"Anulavirus",0,170,0,1877,1,1
"Aokuangvirus",0,170,0,1877,1,1
"Aparavirus",0,170,0,1877,1,1
"Aphanizomenon",0,170,0,1877,1,1
"Aphanocapsa",0,170,0,1877,1,1
"Aphthovirus",0,170,0,1877,1,1
"Apibacter",1,169,1,1876,0.159236915859511,1
"Apilactobacillus",0,170,2,1875,1,1
"Apscaviroid",0,170,0,1877,1,1
"Aptresvirus",0,170,0,1877,1,1
"Aqualcavirus",0,170,0,1877,1,1
"Aquamavirus",0,170,0,1877,1,1
"Aquamicrobium",0,170,0,1877,1,1
"Aquaparamyxovirus",0,170,0,1877,1,1
"Aquareovirus",0,170,0,1877,1,1
"Aquaspirillum",1,169,2,1875,0.229129201582681,1
"Aquella",0,170,0,1877,1,1
"Aquibium",3,167,39,1838,1,1
"Aquicella",0,170,0,1877,1,1
"Aquifex",0,170,0,1877,1,1
"Aquihabitans",0,170,6,1871,1,1
"Aquiluna",0,170,0,1877,1,1
"Aquimarina",1,169,0,1877,0.0830483634587201,0.732660266430438
"Aquincola",3,167,48,1829,0.795597225695168,1
"Aquirhabdus",1,169,0,1877,0.0830483634587201,0.732660266430438
"Aquirufa",0,170,0,1877,1,1
"Aquisalimonas",0,170,2,1875,1,1
"Aquisediminimonas",0,170,11,1866,0.615011839338107,1
"Aquisphaera",1,169,8,1869,0.54246522916192,1
"Aquitalea",2,168,11,1866,0.294581003524188,1
"Arachidicoccus",1,169,0,1877,0.0830483634587201,0.732660266430438
"Arachnia",16,154,12,1865,3.27648170389107e-11,3.25682281366773e-09
"Arcanobacterium",1,169,3,1874,0.293242721998994,1
"Archaeoglobus",0,170,0,1877,1,1
"Archangium",0,170,23,1854,0.252116768204814,1
"Arcobacter",5,165,1,1876,2.09353349684197e-05,0.000867071789942051
"Arcticibacter",0,170,0,1877,1,1
"Arcticibacterium",0,170,0,1877,1,1
"Ardenticatena",0,170,0,1877,1,1
"Arenavirus",0,170,0,1877,1,1
"Arenibacter",0,170,0,1877,1,1
"Arenimonas",0,170,0,1877,1,1
"Arenitalea",0,170,0,1877,1,1
"Arepavirus",0,170,0,1877,1,1
"Aresaunavirus",0,170,0,1877,1,1
"Arhodomonas",0,170,0,1877,1,1
"Aristophania",0,170,0,1877,1,1
"Aromatoleum",0,170,28,1849,0.163364214386759,1
"Arsenicicoccus",2,168,0,1877,0.00685981105792947,0.1366952238416
"Arsenophonus",0,170,0,1877,1,1
"Arsukibacterium",0,170,0,1877,1,1
"Arterivirus",0,170,0,1877,1,1
"Arthrospira",0,170,0,1877,1,1
"Asaia",0,170,0,1877,1,1
"Asanoa",0,170,0,1877,1,1
"Ascovirus",0,170,0,1877,1,1
"Asfivirus",0,170,0,1877,1,1
"Asteriusvirus",0,170,0,1877,1,1
"Atadenovirus",0,170,0,1877,1,1
"Athalassotoga",0,170,0,1877,1,1
"Atlantibacter",0,170,0,1877,1,1
"Atopobium",2,168,1,1876,0.0194523444131702,0.316977546667068
"Atribacter",0,170,0,1877,1,1
"Attisvirus",0,170,0,1877,1,1
