"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aquiluna",0,64,0,1983,1,1
"Aquimarina",0,64,1,1982,1,1
"Aquincola",0,64,51,1932,0.405961566699719,1
"Aquirhabdus",0,64,1,1982,1,1
"Aquirufa",0,64,0,1983,1,1
"Aquisalimonas",0,64,2,1981,1,1
"Aquisediminimonas",0,64,11,1972,1,1
"Aquisphaera",1,63,8,1975,0.249074862049945,1
"Aquitalea",1,63,12,1971,0.339113294571611,1
"Arachidicoccus",0,64,1,1982,1,1
"Arachnia",1,63,27,1956,0.591563732704271,1
"Arcanobacterium",0,64,4,1979,1,1
"Archaeoglobus",0,64,0,1983,1,1
"Archangium",1,63,22,1961,0.520303386232428,1
"Arcobacter",0,64,6,1977,1,1
"Arcticibacter",0,64,0,1983,1,1
"Arcticibacterium",0,64,0,1983,1,1
"Ardenticatena",0,64,0,1983,1,1
"Arenavirus",0,64,0,1983,1,1
"Arenibacter",0,64,0,1983,1,1
"Arenimonas",0,64,0,1983,1,1
"Arenitalea",0,64,0,1983,1,1
"Arepavirus",0,64,0,1983,1,1
"Aresaunavirus",0,64,0,1983,1,1
"Arhodomonas",0,64,0,1983,1,1
"Aristophania",0,64,0,1983,1,1
"Aromatoleum",1,63,27,1956,0.591563732704271,1
"Arsenicicoccus",0,64,2,1981,1,1
"Arsenophonus",0,64,0,1983,1,1
"Arsukibacterium",0,64,0,1983,1,1
"Arterivirus",0,64,0,1983,1,1
"Arthrospira",0,64,0,1983,1,1
"Asaia",0,64,0,1983,1,1
"Asanoa",0,64,0,1983,1,1
"Ascovirus",0,64,0,1983,1,1
"Asfivirus",0,64,0,1983,1,1
"Asteriusvirus",0,64,0,1983,1,1
"Atadenovirus",0,64,0,1983,1,1
"Athalassotoga",0,64,0,1983,1,1
"Atlantibacter",0,64,0,1983,1,1
"Atopobium",0,64,3,1980,1,1
"Atribacter",0,64,0,1983,1,1
"Attisvirus",0,64,0,1983,1,1
"Audreyjarvisvirus",0,64,0,1983,1,1
"Aurantiacibacter",1,63,18,1965,0.454600869907602,1
"Aurantimicrobium",0,64,0,1983,1,1
"Aureibaculum",0,64,0,1983,1,1
"Aureimonas",3,61,46,1937,0.195728974425566,1
"Aureispira",0,64,0,1983,1,1
"Aureliella",0,64,1,1982,1,1
"Auritidibacter",0,64,0,1983,1,1
"Aurivirus",0,64,0,1983,1,1
"Aurodevirus",0,64,3,1980,1,1
"Aurunvirus",0,64,0,1983,1,1
"Austintatiousvirus",0,64,0,1983,1,1
"Austwickia",0,64,0,1983,1,1
"Avastrovirus",0,64,0,1983,1,1
"Aveparvovirus",0,64,0,1983,1,1
"Aviadenovirus",0,64,0,1983,1,1
"Avibacterium",0,64,4,1979,1,1
"Avihepadnavirus",0,64,0,1983,1,1
"Avihepatovirus",0,64,0,1983,1,1
"Avipoxvirus",0,64,0,1983,1,1
"Avocadovirus",0,64,0,1983,1,1
"Avulavirus",0,64,0,1983,1,1
"Avunavirus",0,64,0,1983,1,1
"Azohydromonas",0,64,0,1983,1,1
"Azonexus",0,64,0,1983,1,1
"Azorhizobium",0,64,15,1968,1,1
"Azorudivirus",0,64,0,1983,1,1
"Azospirillum",2,62,48,1935,0.668556833883554,1
"Azotobacter",2,62,32,1951,0.287843002785097,1
"Azovibrio",0,64,0,1983,1,1
"Babuvirus",0,64,0,1983,1,1
"Bacilladnavirus",0,64,0,1983,1,1
"Bacillarnavirus",0,64,0,1983,1,1
"Backyardiganvirus",0,64,0,1983,1,1
"Bacterioplanes",0,64,0,1983,1,1
"Bacterioplanoides",0,64,0,1983,1,1
"Bacteriovorax",0,64,0,1983,1,1
"Bacteroides",15,49,629,1354,0.173593585744301,1
"Badnavirus",0,64,0,1983,1,1
"Baekduia",2,62,3,1980,0.00905635020442738,1
"Bafinivirus",0,64,0,1983,1,1
"Baikalvirus",0,64,0,1983,1,1
"Balneatrix",0,64,0,1983,1,1
"Balneola",0,64,0,1983,1,1
"Baltivirus",0,64,0,1983,1,1
"Banmivirus",0,64,0,1983,1,1
"Baoshanvirus",0,64,0,1983,1,1
"Barbavirus",0,64,0,1983,1,1
"Barnavirus",0,64,0,1983,1,1
"Barnesiella",2,62,32,1951,0.287843002785097,1
"Barnyardlikevirus",0,64,0,1983,1,1
"Barrientosiimonas",0,64,3,1980,1,1
"Bartonella",0,64,108,1875,0.0467612553274866,1
"Basfia",0,64,2,1981,1,1
"Basilea",0,64,0,1983,1,1
"Bastillevirus",0,64,0,1983,1,1
"Batrachovirus",0,64,0,1983,1,1
"Batravirus",0,64,0,1983,1,1
"Bcep22likevirus",0,64,0,1983,1,1
"Bcep78likevirus",0,64,0,1983,1,1
"Bdellomicrovirus",0,64,0,1983,1,1
"Bdellovibrio",0,64,16,1967,1,1
"Beecentumtrevirus",0,64,0,1983,1,1
"Beggiatoa",0,64,0,1983,1,1
"Begomovirus",0,64,0,1983,1,1
"Belliella",0,64,0,1983,1,1
"Bellilinea",0,64,0,1983,1,1
"Belnapia",0,64,0,1983,1,1
"Bendigovirus",0,64,0,1983,1,1
"Benyvirus",0,64,0,1983,1,1
"Beograduvirus",0,64,0,1983,1,1
"Bequatrovirus",0,64,0,1983,1,1
"Bergeyella",0,64,11,1972,1,1
"Berhavirus",0,64,0,1983,1,1
"Berlinvirus",0,64,0,1983,1,1
"Bermanella",0,64,0,1983,1,1
"Bernalvirus",0,64,0,1983,1,1
"Bernardetia",0,64,0,1983,1,1
"Berryella",1,63,7,1976,0.224741085427766,1
"Bertelyvirus",0,64,0,1983,1,1
"Besingivirus",0,64,0,1983,1,1
"Betabaculovirus",0,64,0,1983,1,1
"Betachrysovirus",0,64,0,1983,1,1
"Betacoronavirus",0,64,0,1983,1,1
"Betadintovirus",0,64,0,1983,1,1
"Betaentomopoxvirus",0,64,0,1983,1,1
"Betafusarivirus",0,64,0,1983,1,1
"Betafusellovirus",0,64,0,1983,1,1
"Betahypovirus",0,64,0,1983,1,1
"Betalipothrixvirus",0,64,0,1983,1,1
"Betanucleorhabdovirus",0,64,0,1983,1,1
"Betanudivirus",0,64,0,1983,1,1
"Betapapillomavirus",0,64,0,1983,1,1
"Betapartitivirus",0,64,73,1910,0.169226219092107,1
"Betapolyomavirus",0,64,1,1982,1,1
"Betaretrovirus",0,64,0,1983,1,1
"Betasatellite",0,64,0,1983,1,1
"Betatorquevirus",0,64,0,1983,1,1
"Betayadokarivirus",0,64,0,1983,1,1
"Bhargavaea",0,64,0,1983,1,1
"Bibersteinia",0,64,1,1982,1,1
"Bicaudavirus",0,64,0,1983,1,1
"Bifidobacterium",1,63,198,1785,0.0174604831632657,1
"Bignuzlikevirus",0,64,0,1983,1,1
"Bignuzvirus",0,64,0,1983,1,1
"Bilophila",0,64,0,1983,1,1
"Bingvirus",0,64,0,1983,1,1
"Birpovirus",0,64,0,1983,1,1
"Bisgaardia",0,64,0,1983,1,1
"Bixzunavirus",0,64,0,1983,1,1
"Bizionia",0,64,0,1983,1,1
"Blastochloris",1,63,19,1964,0.471812676774424,1
"Blastococcus",0,64,6,1977,1,1
"Blastomonas",0,64,20,1963,1,1
"Blastopirellula",0,64,0,1983,1,1
"Blattabacterium",0,64,180,1803,0.00541100234835273,0.72393732183441
"Blautia",1,63,164,1819,0.0580539915376917,1
"Blohavirus",0,64,0,1983,1,1
"Blunervirus",0,64,0,1983,1,1
"Bocaparvovirus",0,64,0,1983,1,1
"Bohxovirus",0,64,0,1983,1,1
"Bombilactobacillus",0,64,3,1980,1,1
"Bongovirus",0,64,0,1983,1,1
"Bonnellvirus",0,64,0,1983,1,1
"Bordetella",2,62,139,1844,0.316599074997886,1
"Bornavirus",0,64,0,1983,1,1
"Borrelia",0,64,1,1982,1,1
"Borreliella",0,64,2,1981,1,1
"Bosavirus",0,64,0,1983,1,1
"Bossavirus",0,64,0,1983,1,1
"Botrexvirus",0,64,0,1983,1,1
"Botrytimonavirus",0,64,0,1983,1,1
"Bottigliavirus",0,64,0,1983,1,1
"Boudabousia",0,64,0,1983,1,1
"Bowservirus",0,64,0,1983,1,1
