"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Ampelovirus",0,136,0,1911,1,1
"Amphibacillus",0,136,1,1910,1,1
"Amphritea",0,136,0,1911,1,1
"Ampullavirus",0,136,0,1911,1,1
"Amycolatopsis",0,136,45,1866,0.0702197738577628,1
"Amycolicicoccus",0,136,0,1911,1,1
"Amylibacter",0,136,2,1909,1,1
"Amylolactobacillus",0,136,0,1911,1,1
"Anabaena",0,136,6,1905,1,1
"Anaeroarcus",0,136,0,1911,1,1
"Anaerobacillus",0,136,0,1911,1,1
"Anaerobaculum",0,136,0,1911,1,1
"Anaerobutyricum",0,136,64,1847,0.0196561184395007,0.630263926737539
"Anaerococcus",0,136,63,1848,0.0196205978196598,0.630263926737539
"Anaerocolumna",0,136,24,1887,0.400910615037132,1
"Anaerofustis",0,136,0,1911,1,1
"Anaerohalosphaera",0,136,0,1911,1,1
"Anaerolinea",0,136,1,1910,1,1
"Anaeromicropila",0,136,9,1902,1,1
"Anaeromusa",0,136,0,1911,1,1
"Anaeromyxobacter",0,136,38,1873,0.174777518713466,1
"Anaeropeptidivorans",0,136,2,1909,1,1
"Anaerophaga",0,136,0,1911,1,1
"Anaerosalibacter",0,136,0,1911,1,1
"Anaerosporomusa",0,136,0,1911,1,1
"Anaerostipes",0,136,95,1816,0.00234688196918557,0.128394035850478
"Anaerotignum",0,136,8,1903,1,1
"Anaerotruncus",0,136,56,1855,0.0491697765996688,1
"Anaerovibrio",0,136,0,1911,1,1
"Anaerovorax",0,136,0,1911,1,1
"Anaplasma",0,136,0,1911,1,1
"Anaposvirus",0,136,0,1911,1,1
"Anatilimnocola",0,136,0,1911,1,1
"Anativirus",0,136,0,1911,1,1
"Anayavirus",0,136,0,1911,1,1
"Ancylobacter",0,136,44,1867,0.11436503225898,1
"Andhravirus",0,136,1,1910,1,1
"Anditalea",0,136,0,1911,1,1
"Andreprevotia",0,136,0,1911,1,1
"Andromedalikevirus",0,136,0,1911,1,1
"Andromedavirus",0,136,0,1911,1,1
"Aneurinibacillus",0,136,2,1909,1,1
"Angelvirus",0,136,0,1911,1,1
"Angustibacter",0,136,0,1911,1,1
"Annadreamyvirus",0,136,0,1911,1,1
"Anoxybacillus",0,136,3,1908,1,1
"Anoxybacter",0,136,0,1911,1,1
"Anphevirus",0,136,0,1911,1,1
"Anseongella",0,136,3,1908,1,1
"Antarcticibacterium",0,136,1,1910,1,1
"Antarctobacter",0,136,11,1900,1,1
"Antennavirus",0,136,0,1911,1,1
"Anthocerotibacter",0,136,1,1910,1,1
"Anulavirus",0,136,0,1911,1,1
"Aokuangvirus",0,136,0,1911,1,1
"Aparavirus",0,136,0,1911,1,1
"Aphanizomenon",0,136,0,1911,1,1
"Aphanocapsa",0,136,0,1911,1,1
"Aphthovirus",0,136,0,1911,1,1
"Apibacter",0,136,2,1909,1,1
"Apilactobacillus",0,136,2,1909,1,1
"Apscaviroid",0,136,0,1911,1,1
"Aptresvirus",0,136,0,1911,1,1
"Aqualcavirus",0,136,0,1911,1,1
"Aquamavirus",0,136,0,1911,1,1
"Aquamicrobium",0,136,0,1911,1,1
"Aquaparamyxovirus",0,136,0,1911,1,1
"Aquareovirus",0,136,0,1911,1,1
"Aquaspirillum",0,136,3,1908,1,1
"Aquella",0,136,0,1911,1,1
"Aquibium",0,136,42,1869,0.109833995288443,1
"Aquicella",0,136,0,1911,1,1
"Aquifex",0,136,0,1911,1,1
"Aquihabitans",0,136,6,1905,1,1
"Aquiluna",0,136,0,1911,1,1
"Aquimarina",0,136,1,1910,1,1
"Aquincola",0,136,51,1860,0.045902220660321,1
"Aquirhabdus",0,136,1,1910,1,1
"Aquirufa",0,136,0,1911,1,1
"Aquisalimonas",0,136,2,1909,1,1
"Aquisediminimonas",0,136,11,1900,1,1
"Aquisphaera",0,136,9,1902,1,1
"Aquitalea",0,136,13,1898,1,1
"Arachidicoccus",0,136,1,1910,1,1
"Arachnia",1,135,27,1884,1,1
"Arcanobacterium",0,136,4,1907,1,1
"Archaeoglobus",0,136,0,1911,1,1
"Archangium",0,136,23,1888,0.397047741658377,1
"Arcobacter",0,136,6,1905,1,1
"Arcticibacter",0,136,0,1911,1,1
"Arcticibacterium",0,136,0,1911,1,1
"Ardenticatena",0,136,0,1911,1,1
"Arenavirus",0,136,0,1911,1,1
"Arenibacter",0,136,0,1911,1,1
"Arenimonas",0,136,0,1911,1,1
"Arenitalea",0,136,0,1911,1,1
"Arepavirus",0,136,0,1911,1,1
"Aresaunavirus",0,136,0,1911,1,1
"Arhodomonas",0,136,0,1911,1,1
"Aristophania",0,136,0,1911,1,1
"Aromatoleum",0,136,28,1883,0.254467614493027,1
"Arsenicicoccus",0,136,2,1909,1,1
"Arsenophonus",0,136,0,1911,1,1
"Arsukibacterium",0,136,0,1911,1,1
"Arterivirus",0,136,0,1911,1,1
"Arthrospira",0,136,0,1911,1,1
"Asaia",0,136,0,1911,1,1
"Asanoa",0,136,0,1911,1,1
"Ascovirus",0,136,0,1911,1,1
"Asfivirus",0,136,0,1911,1,1
"Asteriusvirus",0,136,0,1911,1,1
"Atadenovirus",0,136,0,1911,1,1
"Athalassotoga",0,136,0,1911,1,1
"Atlantibacter",0,136,0,1911,1,1
"Atopobium",0,136,3,1908,1,1
"Atribacter",0,136,0,1911,1,1
"Attisvirus",0,136,0,1911,1,1
"Audreyjarvisvirus",0,136,0,1911,1,1
"Aurantiacibacter",0,136,19,1892,0.632499607752162,1
"Aurantimicrobium",0,136,0,1911,1,1
"Aureibaculum",0,136,0,1911,1,1
"Aureimonas",0,136,49,1862,0.0731708541998935,1
"Aureispira",0,136,0,1911,1,1
"Aureliella",0,136,1,1910,1,1
"Auritidibacter",0,136,0,1911,1,1
"Aurivirus",0,136,0,1911,1,1
"Aurodevirus",0,136,3,1908,1,1
"Aurunvirus",0,136,0,1911,1,1
"Austintatiousvirus",0,136,0,1911,1,1
"Austwickia",0,136,0,1911,1,1
"Avastrovirus",0,136,0,1911,1,1
"Aveparvovirus",0,136,0,1911,1,1
"Aviadenovirus",0,136,0,1911,1,1
"Avibacterium",0,136,4,1907,1,1
"Avihepadnavirus",0,136,0,1911,1,1
"Avihepatovirus",0,136,0,1911,1,1
"Avipoxvirus",0,136,0,1911,1,1
"Avocadovirus",0,136,0,1911,1,1
"Avulavirus",0,136,0,1911,1,1
"Avunavirus",0,136,0,1911,1,1
"Azohydromonas",0,136,0,1911,1,1
"Azonexus",0,136,0,1911,1,1
"Azorhizobium",0,136,15,1896,0.61795693186628,1
"Azorudivirus",0,136,0,1911,1,1
"Azospirillum",0,136,50,1861,0.0749571907273694,1
"Azotobacter",0,136,34,1877,0.165215887261429,1
"Azovibrio",0,136,0,1911,1,1
"Babuvirus",0,136,0,1911,1,1
"Bacilladnavirus",0,136,0,1911,1,1
"Bacillarnavirus",0,136,0,1911,1,1
"Backyardiganvirus",0,136,0,1911,1,1
"Bacterioplanes",0,136,0,1911,1,1
"Bacterioplanoides",0,136,0,1911,1,1
"Bacteriovorax",0,136,0,1911,1,1
"Bacteroides",21,115,623,1288,1.4189657224199e-05,0.00128222902553216
"Badnavirus",0,136,0,1911,1,1
"Baekduia",0,136,5,1906,1,1
