"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Barrientosiimonas",0,0,3,2044,1,1
"Bartonella",0,0,108,1939,1,1
"Basfia",0,0,2,2045,1,1
"Basilea",0,0,0,2047,1,1
"Bastillevirus",0,0,0,2047,1,1
"Batrachovirus",0,0,0,2047,1,1
"Batravirus",0,0,0,2047,1,1
"Bcep22likevirus",0,0,0,2047,1,1
"Bcep78likevirus",0,0,0,2047,1,1
"Bdellomicrovirus",0,0,0,2047,1,1
"Bdellovibrio",0,0,16,2031,1,1
"Beecentumtrevirus",0,0,0,2047,1,1
"Beggiatoa",0,0,0,2047,1,1
"Begomovirus",0,0,0,2047,1,1
"Belliella",0,0,0,2047,1,1
"Bellilinea",0,0,0,2047,1,1
"Belnapia",0,0,0,2047,1,1
"Bendigovirus",0,0,0,2047,1,1
"Benyvirus",0,0,0,2047,1,1
"Beograduvirus",0,0,0,2047,1,1
"Bequatrovirus",0,0,0,2047,1,1
"Bergeyella",0,0,11,2036,1,1
"Berhavirus",0,0,0,2047,1,1
"Berlinvirus",0,0,0,2047,1,1
"Bermanella",0,0,0,2047,1,1
"Bernalvirus",0,0,0,2047,1,1
"Bernardetia",0,0,0,2047,1,1
"Berryella",0,0,8,2039,1,1
"Bertelyvirus",0,0,0,2047,1,1
"Besingivirus",0,0,0,2047,1,1
"Betabaculovirus",0,0,0,2047,1,1
"Betachrysovirus",0,0,0,2047,1,1
"Betacoronavirus",0,0,0,2047,1,1
"Betadintovirus",0,0,0,2047,1,1
"Betaentomopoxvirus",0,0,0,2047,1,1
"Betafusarivirus",0,0,0,2047,1,1
"Betafusellovirus",0,0,0,2047,1,1
"Betahypovirus",0,0,0,2047,1,1
"Betalipothrixvirus",0,0,0,2047,1,1
"Betanucleorhabdovirus",0,0,0,2047,1,1
"Betanudivirus",0,0,0,2047,1,1
"Betapapillomavirus",0,0,0,2047,1,1
"Betapartitivirus",0,0,73,1974,1,1
"Betapolyomavirus",0,0,1,2046,1,1
"Betaretrovirus",0,0,0,2047,1,1
"Betasatellite",0,0,0,2047,1,1
"Betatorquevirus",0,0,0,2047,1,1
"Betayadokarivirus",0,0,0,2047,1,1
"Bhargavaea",0,0,0,2047,1,1
"Bibersteinia",0,0,1,2046,1,1
"Bicaudavirus",0,0,0,2047,1,1
"Bifidobacterium",0,0,199,1848,1,1
"Bignuzlikevirus",0,0,0,2047,1,1
"Bignuzvirus",0,0,0,2047,1,1
"Bilophila",0,0,0,2047,1,1
"Bingvirus",0,0,0,2047,1,1
"Birpovirus",0,0,0,2047,1,1
"Bisgaardia",0,0,0,2047,1,1
"Bixzunavirus",0,0,0,2047,1,1
"Bizionia",0,0,0,2047,1,1
"Blastochloris",0,0,20,2027,1,1
"Blastococcus",0,0,6,2041,1,1
"Blastomonas",0,0,20,2027,1,1
"Blastopirellula",0,0,0,2047,1,1
"Blattabacterium",0,0,180,1867,1,1
"Blautia",0,0,165,1882,1,1
"Blohavirus",0,0,0,2047,1,1
"Blunervirus",0,0,0,2047,1,1
"Bocaparvovirus",0,0,0,2047,1,1
"Bohxovirus",0,0,0,2047,1,1
"Bombilactobacillus",0,0,3,2044,1,1
"Bongovirus",0,0,0,2047,1,1
"Bonnellvirus",0,0,0,2047,1,1
"Bordetella",0,0,141,1906,1,1
"Bornavirus",0,0,0,2047,1,1
"Borrelia",0,0,1,2046,1,1
"Borreliella",0,0,2,2045,1,1
"Bosavirus",0,0,0,2047,1,1
"Bossavirus",0,0,0,2047,1,1
"Botrexvirus",0,0,0,2047,1,1
"Botrytimonavirus",0,0,0,2047,1,1
"Bottigliavirus",0,0,0,2047,1,1
"Boudabousia",0,0,0,2047,1,1
"Bowservirus",0,0,0,2047,1,1
"Bppunalikevirus",0,0,0,2047,1,1
"Brachybacterium",0,0,20,2027,1,1
"Brachymonas",0,0,0,2047,1,1
"Brachyspira",0,0,10,2037,1,1
"Brackiella",0,0,0,2047,1,1
"Bracoviriform",0,0,0,2047,1,1
"Bracovirus",0,0,0,2047,1,1
"Bradymonas",0,0,0,2047,1,1
"Bremerella",0,0,0,2047,1,1
"Brenneria",0,0,3,2044,1,1
"Breoghania",0,0,4,2043,1,1
"Brevefilum",0,0,0,2047,1,1
"Brevidensovirus",0,0,0,2047,1,1
"Breznakiella",0,0,5,2042,1,1
"Brigitvirus",0,0,2,2045,1,1
"Bromovirus",0,0,0,2047,1,1
"Bronlikevirus",0,0,0,2047,1,1
"Brooklawnia",0,0,1,2046,1,1
"Brucella",0,0,315,1732,1,1
"Brucepastera",0,0,13,2034,1,1
"Brussowvirus",0,0,0,2047,1,1
"Bryobacter",0,0,0,2047,1,1
"Buchavirus",0,0,1,2046,1,1
"Buchnera",0,0,867,1180,1,1
"Buhlduvirus",0,0,0,2047,1,1
"Bulleidia",0,0,40,2007,1,1
