"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Alexandravirus",0,189,0,1858,1
"Alfamovirus",0,189,0,1858,1
"Algibacter",0,189,0,1858,1
"Algicella",0,189,0,1858,1
"Algicola",0,189,0,1858,1
"Algiphilus",0,189,0,1858,1
"Aliagarivorans",0,189,0,1858,1
"Aliamphritea",0,189,0,1858,1
"Alicyclobacillus",0,189,7,1851,1
"Aliiglaciecola",0,189,0,1858,1
"Aliihoeflea",0,189,0,1858,1
"Aliiroseovarius",0,189,1,1857,1
"Aliivibrio",0,189,0,1858,1
"Alishewanella",0,189,0,1858,1
"Aliterella",0,189,0,1858,1
"Alkalibacterium",0,189,0,1858,1
"Alkalicella",0,189,2,1856,1
"Alkalihalobacillus",0,189,0,1858,1
"Alkalihalophilus",0,189,0,1858,1
"Alkalilimnicola",0,189,1,1857,1
"Alkalimarinus",0,189,0,1858,1
"Alkaliphilus",0,189,2,1856,1
"Alkalitalea",0,189,0,1858,1
"Alkanindiges",0,189,0,1858,1
"Allexivirus",0,189,0,1858,1
"Alloactinosynnema",0,189,1,1857,1
"Alloalcanivorax",0,189,5,1853,1
"Allobacillus",0,189,1,1857,1
"Allobaculum",0,189,0,1858,1
"Allocoleopsis",0,189,2,1856,1
"Allofrancisella",0,189,0,1858,1
"Allofustis",0,189,0,1858,1
"Alloiococcus",0,189,0,1858,1
"Allokutzneria",0,189,0,1858,1
"Allolevivirus",0,189,0,1858,1
"Allomeiothermus",0,189,0,1858,1
"Alloprevotella",0,189,0,1858,1
"Allorhizobium",0,189,1,1857,1
"Allosaccharopolyspora",0,189,0,1858,1
"Allosalinactinospora",0,189,0,1858,1
"Alloscardovia",0,189,0,1858,1
"Alphabaculovirus",0,189,1,1857,1
"Alphachrysovirus",0,189,0,1858,1
"Alphacoronavirus",0,189,0,1858,1
"Alphadrosrhavirus",0,189,0,1858,1
"Alphaendornavirus",0,189,0,1858,1
"Alphaentomopoxvirus",0,189,0,1858,1
"Alphafusarivirus",0,189,0,1858,1
"Alphafusellovirus",0,189,0,1858,1
"Alphahypovirus",0,189,0,1858,1
"Alphamesonivirus",0,189,0,1858,1
"Alphamononivirus",0,189,0,1858,1
"Alphanemrhavirus",0,189,0,1858,1
"Alphanudivirus",0,189,0,1858,1
"Alphapolyomavirus",0,189,0,1858,1
"Alphaportoglobovirus",0,189,0,1858,1
"Alpharetrovirus",0,189,0,1858,1
"Alphasphaerolipovirus",0,189,0,1858,1
"Alphaturrivirus",0,189,0,1858,1
"Alphavirus",0,189,0,1858,1
"Alteracholeplasma",0,189,2,1856,1
"Altibacter",0,189,0,1858,1
"Amantichitinum",0,189,0,1858,1
"Ambidensovirus",0,189,0,1858,1
"Amdoparvovirus",0,189,0,1858,1
"Amigovirus",0,189,0,1858,1
"Aminiphilus",0,189,0,1858,1
"Aminomonas",0,189,0,1858,1
"Ammonifex",0,189,0,1858,1
"Amniculibacterium",0,189,2,1856,1
"Amorphus",0,189,0,1858,1
"Amoyvirus",0,189,0,1858,1
"Ampelovirus",0,189,0,1858,1
"Amphibacillus",0,189,1,1857,1
"Amphritea",0,189,0,1858,1
"Ampullavirus",0,189,0,1858,1
