"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Andromedavirus",0,149,0,1898,1,1
"Aneurinibacillus",0,149,2,1896,1,1
"Angelvirus",0,149,0,1898,1,1
"Angustibacter",0,149,0,1898,1,1
"Annadreamyvirus",0,149,0,1898,1,1
"Anoxybacillus",0,149,3,1895,1,1
"Anoxybacter",0,149,0,1898,1,1
"Anphevirus",0,149,0,1898,1,1
"Anseongella",1,148,2,1896,0.202950878211067,1
"Antarcticibacterium",0,149,1,1897,1,1
"Antarctobacter",0,149,11,1887,1,1
"Antennavirus",0,149,0,1898,1,1
"Anthocerotibacter",1,148,0,1898,0.0727894479726428,1
"Anulavirus",0,149,0,1898,1,1
"Aokuangvirus",0,149,0,1898,1,1
"Aparavirus",0,149,0,1898,1,1
"Aphanizomenon",0,149,0,1898,1,1
"Aphanocapsa",0,149,0,1898,1,1
"Aphthovirus",0,149,0,1898,1,1
"Apibacter",0,149,2,1896,1,1
"Apilactobacillus",2,147,0,1898,0.00526531686214621,0.239215619155341
"Apscaviroid",0,149,0,1898,1,1
"Aptresvirus",0,149,0,1898,1,1
"Aqualcavirus",0,149,0,1898,1,1
"Aquamavirus",0,149,0,1898,1,1
"Aquamicrobium",0,149,0,1898,1,1
"Aquaparamyxovirus",0,149,0,1898,1,1
"Aquareovirus",0,149,0,1898,1,1
"Aquaspirillum",0,149,3,1895,1,1
"Aquella",0,149,0,1898,1,1
"Aquibium",0,149,42,1856,0.0696544244956525,1
"Aquicella",0,149,0,1898,1,1
"Aquifex",0,149,0,1898,1,1
"Aquihabitans",1,148,5,1893,0.364932490218472,1
"Aquiluna",0,149,0,1898,1,1
"Aquimarina",0,149,1,1897,1,1
"Aquincola",1,148,50,1848,0.175716566846056,1
"Aquirhabdus",0,149,1,1897,1,1
"Aquirufa",0,149,0,1898,1,1
"Aquisalimonas",1,148,1,1897,0.14031357908314,1
"Aquisediminimonas",0,149,11,1887,1,1
"Aquisphaera",2,147,7,1891,0.13527280842025,1
"Aquitalea",0,149,13,1885,0.616644203174883,1
"Arachidicoccus",0,149,1,1897,1,1
"Arachnia",1,148,27,1871,0.717382271568956,1
"Arcanobacterium",0,149,4,1894,1,1
"Archaeoglobus",0,149,0,1898,1,1
"Archangium",1,148,22,1876,1,1
"Arcobacter",1,148,5,1893,0.364932490218472,1
"Arcticibacter",0,149,0,1898,1,1
"Arcticibacterium",0,149,0,1898,1,1
"Ardenticatena",0,149,0,1898,1,1
"Arenavirus",0,149,0,1898,1,1
"Arenibacter",0,149,0,1898,1,1
"Arenimonas",0,149,0,1898,1,1
"Arenitalea",0,149,0,1898,1,1
"Arepavirus",0,149,0,1898,1,1
"Aresaunavirus",0,149,0,1898,1,1
"Arhodomonas",0,149,0,1898,1,1
"Aristophania",0,149,0,1898,1,1
"Aromatoleum",1,148,27,1871,0.717382271568956,1
"Arsenicicoccus",0,149,2,1896,1,1
"Arsenophonus",0,149,0,1898,1,1
"Arsukibacterium",0,149,0,1898,1,1
"Arterivirus",0,149,0,1898,1,1
"Arthrospira",0,149,0,1898,1,1
"Asaia",0,149,0,1898,1,1
"Asanoa",0,149,0,1898,1,1
"Ascovirus",0,149,0,1898,1,1
"Asfivirus",0,149,0,1898,1,1
"Asteriusvirus",0,149,0,1898,1,1
"Atadenovirus",0,149,0,1898,1,1
"Athalassotoga",0,149,0,1898,1,1
"Atlantibacter",0,149,0,1898,1,1
"Atopobium",1,148,2,1896,0.202950878211067,1
"Atribacter",0,149,0,1898,1,1
"Attisvirus",0,149,0,1898,1,1
"Audreyjarvisvirus",0,149,0,1898,1,1
"Aurantiacibacter",0,149,19,1879,0.392107408986114,1
"Aurantimicrobium",0,149,0,1898,1,1
"Aureibaculum",0,149,0,1898,1,1
"Aureimonas",3,146,46,1852,1,1
"Aureispira",0,149,0,1898,1,1
"Aureliella",0,149,1,1897,1,1
"Auritidibacter",0,149,0,1898,1,1
"Aurivirus",0,149,0,1898,1,1
"Aurodevirus",0,149,3,1895,1,1
"Aurunvirus",0,149,0,1898,1,1
"Austintatiousvirus",0,149,0,1898,1,1
"Austwickia",0,149,0,1898,1,1
"Avastrovirus",0,149,0,1898,1,1
"Aveparvovirus",0,149,0,1898,1,1
"Aviadenovirus",0,149,0,1898,1,1
"Avibacterium",0,149,4,1894,1,1
"Avihepadnavirus",0,149,0,1898,1,1
"Avihepatovirus",0,149,0,1898,1,1
"Avipoxvirus",0,149,0,1898,1,1
"Avocadovirus",0,149,0,1898,1,1
"Avulavirus",0,149,0,1898,1,1
"Avunavirus",0,149,0,1898,1,1
"Azohydromonas",0,149,0,1898,1,1
"Azonexus",0,149,0,1898,1,1
"Azorhizobium",0,149,15,1883,0.619710217409191,1
"Azorudivirus",0,149,0,1898,1,1
"Azospirillum",3,146,47,1851,1,1
"Azotobacter",0,149,34,1864,0.170968892278518,1
"Azovibrio",0,149,0,1898,1,1
"Babuvirus",0,149,0,1898,1,1
"Bacilladnavirus",0,149,0,1898,1,1
"Bacillarnavirus",0,149,0,1898,1,1
"Backyardiganvirus",0,149,0,1898,1,1
"Bacterioplanes",0,149,0,1898,1,1
"Bacterioplanoides",0,149,0,1898,1,1
"Bacteriovorax",0,149,0,1898,1,1
"Bacteroides",57,92,587,1311,0.0671968722051321,1
"Badnavirus",0,149,0,1898,1,1
"Baekduia",1,148,4,1894,0.31494566562394,1
"Bafinivirus",0,149,0,1898,1,1
"Baikalvirus",0,149,0,1898,1,1
"Balneatrix",0,149,0,1898,1,1
"Balneola",0,149,0,1898,1,1
"Baltivirus",0,149,0,1898,1,1
"Banmivirus",0,149,0,1898,1,1
"Baoshanvirus",0,149,0,1898,1,1
"Barbavirus",0,149,0,1898,1,1
"Barnavirus",0,149,0,1898,1,1
"Barnesiella",2,147,32,1866,1,1
"Barnyardlikevirus",0,149,0,1898,1,1
"Barrientosiimonas",0,149,3,1895,1,1
"Bartonella",9,140,99,1799,0.701774561620599,1
"Basfia",0,149,2,1896,1,1
"Basilea",0,149,0,1898,1,1
"Bastillevirus",0,149,0,1898,1,1
"Batrachovirus",0,149,0,1898,1,1
"Batravirus",0,149,0,1898,1,1
"Bcep22likevirus",0,149,0,1898,1,1
"Bcep78likevirus",0,149,0,1898,1,1
"Bdellomicrovirus",0,149,0,1898,1,1
"Bdellovibrio",0,149,16,1882,0.623902388240901,1
"Beecentumtrevirus",0,149,0,1898,1,1
"Beggiatoa",0,149,0,1898,1,1
"Begomovirus",0,149,0,1898,1,1
"Belliella",0,149,0,1898,1,1
"Bellilinea",0,149,0,1898,1,1
"Belnapia",0,149,0,1898,1,1
"Bendigovirus",0,149,0,1898,1,1
"Benyvirus",0,149,0,1898,1,1
"Beograduvirus",0,149,0,1898,1,1
"Bequatrovirus",0,149,0,1898,1,1
"Bergeyella",1,148,10,1888,0.565447051449314,1
"Berhavirus",0,149,0,1898,1,1
"Berlinvirus",0,149,0,1898,1,1
"Bermanella",0,149,0,1898,1,1
"Bernalvirus",0,149,0,1898,1,1
"Bernardetia",0,149,0,1898,1,1
"Berryella",1,148,7,1891,0.454293177458647,1
"Bertelyvirus",0,149,0,1898,1,1
"Besingivirus",0,149,0,1898,1,1
"Betabaculovirus",0,149,0,1898,1,1
"Betachrysovirus",0,149,0,1898,1,1
"Betacoronavirus",0,149,0,1898,1,1
"Betadintovirus",0,149,0,1898,1,1
"Betaentomopoxvirus",0,149,0,1898,1,1
"Betafusarivirus",0,149,0,1898,1,1
"Betafusellovirus",0,149,0,1898,1,1
"Betahypovirus",0,149,0,1898,1,1
"Betalipothrixvirus",0,149,0,1898,1,1
"Betanucleorhabdovirus",0,149,0,1898,1,1
"Betanudivirus",0,149,0,1898,1,1
"Betapapillomavirus",0,149,0,1898,1,1
"Betapartitivirus",4,145,69,1829,0.81700848010535,1
"Betapolyomavirus",0,149,1,1897,1,1
"Betaretrovirus",0,149,0,1898,1,1
"Betasatellite",0,149,0,1898,1,1
"Betatorquevirus",0,149,0,1898,1,1
"Betayadokarivirus",0,149,0,1898,1,1
"Bhargavaea",0,149,0,1898,1,1
"Bibersteinia",0,149,1,1897,1,1
"Bicaudavirus",0,149,0,1898,1,1
"Bifidobacterium",20,129,179,1719,0.114832431099879,1
"Bignuzlikevirus",0,149,0,1898,1,1
"Bignuzvirus",0,149,0,1898,1,1
"Bilophila",0,149,0,1898,1,1
"Bingvirus",0,149,0,1898,1,1
"Birpovirus",0,149,0,1898,1,1
"Bisgaardia",0,149,0,1898,1,1
"Bixzunavirus",0,149,0,1898,1,1
"Bizionia",0,149,0,1898,1,1
"Blastochloris",0,149,20,1878,0.393010856557552,1
"Blastococcus",1,148,5,1893,0.364932490218472,1
"Blastomonas",0,149,20,1878,0.393010856557552,1
"Blastopirellula",0,149,0,1898,1,1
"Blattabacterium",17,132,163,1735,0.230817578824653,1
"Blautia",9,140,156,1742,0.434422197377508,1
"Blohavirus",0,149,0,1898,1,1
"Blunervirus",0,149,0,1898,1,1
"Bocaparvovirus",0,149,0,1898,1,1
"Bohxovirus",0,149,0,1898,1,1
"Bombilactobacillus",1,148,2,1896,0.202950878211067,1
"Bongovirus",0,149,0,1898,1,1
"Bonnellvirus",0,149,0,1898,1,1
"Bordetella",9,140,132,1766,0.866144788141809,1
"Bornavirus",0,149,0,1898,1,1
"Borrelia",0,149,1,1897,1,1
"Borreliella",1,148,1,1897,0.14031357908314,1
"Bosavirus",0,149,0,1898,1,1
"Bossavirus",0,149,0,1898,1,1
"Botrexvirus",0,149,0,1898,1,1
"Botrytimonavirus",0,149,0,1898,1,1
"Bottigliavirus",0,149,0,1898,1,1
"Boudabousia",0,149,0,1898,1,1
"Bowservirus",0,149,0,1898,1,1
"Bppunalikevirus",0,149,0,1898,1,1
"Brachybacterium",2,147,18,1880,0.652726844287339,1
"Brachymonas",0,149,0,1898,1,1
"Brachyspira",1,148,9,1889,0.531152353708821,1
"Brackiella",0,149,0,1898,1,1
"Bracoviriform",0,149,0,1898,1,1
"Bracovirus",0,149,0,1898,1,1
"Bradymonas",0,149,0,1898,1,1
"Bremerella",0,149,0,1898,1,1
"Brenneria",1,148,2,1896,0.202950878211067,1
"Breoghania",0,149,4,1894,1,1
"Brevefilum",0,149,0,1898,1,1
"Brevidensovirus",0,149,0,1898,1,1
"Breznakiella",2,147,3,1895,0.0454813155129772,1
